x y dx dy
0.00 0.87 0.02 0.05
1.00 0.00 0.02 0.05
2.00 -0.18 0.02 0.05
3.00 0.74 0.02 0.05
4.00 -0.85 0.02 0.05
5.00 0.40 0.02 0.05
6.00 0.0 0.02 0.05
7.00 -0.43 0.02 0.05
8.00 0.70 0.02 0.05
9.00 -0.79 0.02 0.05
10.00 0.35 0.02 0.05
11.00 0.09 0.02 0.05
12.00 -0.50 0.02 0.05
13.00 0.63 0.02 0.05
14.00 -0.6 0.02 0.05
15.00 0.27 0.02 0.05
16.00 0.00 0.02 0.05
17.00 0.35 0.02 0.05
18.00 0.53 0.02 0.05
19.00 -0.53 0.02 0.05
20.00 0.35 0.02 0.05
21.00 0.09 0.02 0.05
22.00 -0.18 0.02 0.05
23.00 0.50 0.02 0.05
24.00 -0.46 0.02 0.05
25.00 0.35 0.02 0.05
26.00 0.09 0.02 0.05
27.00 -0.18 0.02 0.05
28.00 0.43 0.02 0.05
29.00 -0.43 0.02 0.05
30.00 0.43 0.02 0.05
31.00 0.03 0.02 0.05
32.00 -0.18 0.02 0.05
33.00 0.30 0.02 0.05
34.00 -0.43 0.02 0.05
35.00 0.35 0.02 0.05
36.00 -0.15 0.02 0.05
37.00 -0.15 0.02 0.05
38.00 0.30 0.02 0.05
39.00 -0.40 0.02 0.05
40.00 0.40 0.02 0.05
41.00 -0.27 0.02 0.05
42.00 0.09 0.02 0.05
43.00 0.27 0.02 0.05
44.00 -0.27 0.02 0.05
45.00 0.35 0.02 0.05
46.00 -0.35 0.02 0.05
47.00 0.00 0.02 0.05
48.00 0.13 0.02 0.05
49.00 -0.27 0.02 0.05
50.00 0.30 0.02 0.05
